code,name,source_org,topics,years_available
GC.XPN.COMP.CN,Compensation of employees (current LCU),"Government Finance Statistics Yearbook and data files, International Monetary Fund (IMF)",Public Sector ,2013-2022
GC.XPN.COMP.ZS,Compensation of employees (% of expense),"Government Finance Statistics Yearbook and data files, International Monetary Fund (IMF)",Public Sector ,2013-2022
GC.XPN.GSRV.CN,Goods and services expense (current LCU),"Government Finance Statistics Yearbook and data files, International Monetary Fund (IMF)",Public Sector ,2013-2022
GC.XPN.GSRV.ZS,Goods and services expense (% of expense),"Government Finance Statistics Yearbook and data files, International Monetary Fund (IMF)",Public Sector ,2013-2022
GC.XPN.INTP.CN,Interest payments (current LCU),"Government Finance Statistics Yearbook and data files, International Monetary Fund (IMF)",Public Sector ,2013-2022
GC.XPN.INTP.RV.ZS,Interest payments (% of revenue),"Government Finance Statistics Yearbook and data files, International Monetary Fund (IMF)",Public Sector ,2013-2022
GC.XPN.INTP.ZS,Interest payments (% of expense),"Government Finance Statistics Yearbook and data files, International Monetary Fund (IMF)",Public Sector ,2013-2022
GC.XPN.OTHR.CN,Other expense (current LCU),"Government Finance Statistics Yearbook and data files, International Monetary Fund (IMF)",Public Sector ,2013-2022
GC.XPN.OTHR.ZS,Other expense (% of expense),"Government Finance Statistics Yearbook and data files, International Monetary Fund (IMF)",Public Sector ,2013-2022
GC.XPN.TOTL.CN,Expense (current LCU),"Government Finance Statistics Yearbook and data files, International Monetary Fund (IMF)",Public Sector ,2013-2022
GC.XPN.TOTL.GD.ZS,Expense (% of GDP),"Government Finance Statistics Yearbook and data files, International Monetary Fund (IMF);
World Development Indicators, World Bank (WB);
National Accounts data files, Organisation for Economic Co-operation and Development (OECD)","Economy & Growth, Public Sector ",2013-2022
GC.XPN.TRFT.CN,Subsidies and other transfers (current LCU),"Government Finance Statistics Yearbook and data files, International Monetary Fund (IMF)",Public Sector ,2013-2022
GC.XPN.TRFT.ZS,Subsidies and other transfers (% of expense),"Government Finance Statistics Yearbook and data files, International Monetary Fund (IMF)",Public Sector ,2013-2022
GE.EST,Government Effectiveness: Estimate,"Worldwide Governance Indicators, World Bank (WB), uri: www.govindicators.org",Public Sector ,1996-2023
GE.NO.SRC,Government Effectiveness: Number of Sources,"Worldwide Governance Indicators, World Bank (WB), uri: www.govindicators.org, note: The Worldwide Governance Indicators (WGI) are a product of the staff of the World Bank with external contributions.",Public Sector ,1996-2023
GE.PER.RNK,Government Effectiveness: Percentile Rank,"Worldwide Governance Indicators, World Bank (WB), uri: www.govindicators.org, note: The Worldwide Governance Indicators (WGI) are a product of the staff of the World Bank with external contributions.",Public Sector ,1996-2023
GE.PER.RNK.LOWER,"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval","Worldwide Governance Indicators, World Bank (WB), uri: www.govindicators.org, note: The Worldwide Governance Indicators (WGI) are a product of the staff of the World Bank with external contributions.",Public Sector ,1996-2023
GE.PER.RNK.UPPER,"Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval","Worldwide Governance Indicators, World Bank (WB), uri: www.govindicators.org, note: The Worldwide Governance Indicators (WGI) are a product of the staff of the World Bank with external contributions.",Public Sector ,1996-2023
GE.STD.ERR,Government Effectiveness: Standard Error,"Worldwide Governance Indicators, World Bank (WB), uri: www.govindicators.org, note: The Worldwide Governance Indicators (WGI) are a product of the staff of the World Bank with external contributions.",Public Sector ,1996-2023
GF.XPD.BUDG.ZS,Primary government expenditures as a proportion of original approved budget (%),"Public Expenditure and Financial Accountability (PEFA), World Bank (WB), uri: https://www.pefa.org/node/5239, note: The raw data collected in order to calculate this indicator are the initially Approved and Executed Budgets. Budget Laws of countries is the usual source of the approved budget of countries. The end-of year fiscal reports (budget execution reports) are the sources of the actual spending. This data is typically obtained from websites of the Ministry of Finance (MoF) or the national Parliament, or data are collected through communication with the MoF.",Public Sector ,2007-2022
HD.HCI.OVRL,Human Capital Index (HCI) (scale 0-1),World Bank staff calculations based on the methodology described in World Bank (2018). https://openknowledge.worldbank.org/handle/10986/30498.,Public Sector ,2010-2020
HD.HCI.OVRL.FE,"Human Capital Index (HCI), Female (scale 0-1)",World Bank staff calculations based on the methodology described in World Bank (2018). https://openknowledge.worldbank.org/handle/10986/30498.,Public Sector ,2010-2020
HD.HCI.OVRL.LB,"Human Capital Index (HCI), Lower Bound (scale 0-1)",World Bank staff calculations based on the methodology described in Kraay (2018).  http://documents.worldbank.org/curated/en/300071537907028892/Methodology-for-a-World-Bank-Human-Capital-Index,Public Sector ,2010-2020
HD.HCI.OVRL.LB.FE,"Human Capital Index (HCI), Female, Lower Bound (scale 0-1)",World Bank staff calculations based on the methodology described in Kraay (2018).  http://documents.worldbank.org/curated/en/300071537907028892/Methodology-for-a-World-Bank-Human-Capital-Index,Public Sector ,2010-2020
HD.HCI.OVRL.LB.MA,"Human Capital Index (HCI), Male, Lower Bound (scale 0-1)",World Bank staff calculations based on the methodology described in Kraay (2018).  http://documents.worldbank.org/curated/en/300071537907028892/Methodology-for-a-World-Bank-Human-Capital-Index,Public Sector ,2010-2020
HD.HCI.OVRL.MA,"Human Capital Index (HCI), Male (scale 0-1)",World Bank staff calculations based on the methodology described in World Bank (2018). https://openknowledge.worldbank.org/handle/10986/30498.,Public Sector ,2010-2020
HD.HCI.OVRL.UB,"Human Capital Index (HCI), Upper Bound (scale 0-1)",World Bank staff calculations based on the methodology described in Kraay (2018).  http://documents.worldbank.org/curated/en/300071537907028892/Methodology-for-a-World-Bank-Human-Capital-Index,Public Sector ,2010-2020
HD.HCI.OVRL.UB.FE,"Human Capital Index (HCI), Female, Upper Bound (scale 0-1)",World Bank staff calculations based on the methodology described in Kraay (2018).  http://documents.worldbank.org/curated/en/300071537907028892/Methodology-for-a-World-Bank-Human-Capital-Index,Public Sector ,2010-2020
HD.HCI.OVRL.UB.MA,"Human Capital Index (HCI), Male, Upper Bound (scale 0-1)",World Bank staff calculations based on the methodology described in Kraay (2018).  http://documents.worldbank.org/curated/en/300071537907028892/Methodology-for-a-World-Bank-Human-Capital-Index,Public Sector ,2010-2020
IC.CUS.DURS.EX,Average time to clear exports through customs (days),"Enterprise Surveys, World Bank (WB), uri: https://www.enterprisesurveys.org/en/data, note: All surveys were administered using the Enterprise Surveys methodology as outlined in the Methodology page which can be found from www.enterprisesurveys.org.","Private Sector, Trade",2006-2024
IC.CUS.DURS.IM,Average time to clear imports through customs (days),"World Bank, Enterprise Surveys",,2003-2024
IC.ELC.DURS,Time to obtain an electrical connection (days),"Enterprise Surveys, World Bank (WB), uri: https://www.enterprisesurveys.org/en/data","Energy & Mining , Private Sector",2006-2024
IC.ELC.OUTG.ZS,Firms experiencing electrical outages (% of firms),"Enterprise Surveys, World Bank (WB), uri: https://www.enterprisesurveys.org/en/data",Private Sector,2006-2024
IC.FRM.BKWC.ZS,Firms using banks to finance working capital (% of firms) ,"Enterprise Surveys, World Bank (WB), uri: https://www.enterprisesurveys.org/en/data",Private Sector,2006-2024
IC.FRM.BNKL.ZS,Firms with a bank loan/line of credit (% of firms),"World Bank, Enterprise Surveys",,2006-2024
IC.FRM.BNKS.ZS,Firms using banks to finance investment (% of firms),"Enterprise Surveys, World Bank (WB), uri: https://www.enterprisesurveys.org/en/data","Energy & Mining , Private Sector",2006-2024
IC.FRM.BRIB.ZS,Bribery incidence (% of firms experiencing at least one bribe payment request),"Enterprise Surveys, World Bank (WB), uri: https://www.enterprisesurveys.org/en/data",Private Sector,2006-2024
IC.FRM.CDP.ZS,Firms that use a third party to resolve commercial disputes (% of firms),"World Bank, Enterprise Surveys",,2024-2024
IC.FRM.CMPU.ZS,Firms competing against unregistered firms (% of firms),"Enterprise Surveys, World Bank (WB), uri: https://www.enterprisesurveys.org/en/data",Private Sector,2006-2024
IC.FRM.CO2.ZS,Firms monitoring own CO2 emissions (% of firms),"World Bank, Enterprise Surveys",,2024-2024
IC.FRM.CORR.ZS,Informal payments to public officials (% of firms),"Enterprise Surveys, World Bank (WB), uri: https://www.enterprisesurveys.org/en/data",Private Sector,2006-2024
IC.FRM.CRDC.FL.ZS,Firms that are fully credit constrained (% of firms),"World Bank, Enterprise Surveys",,2017-2024
IC.FRM.CRDC.PT.ZS,Firms that are partially credit constrained (% of firms),"World Bank, Enterprise Surveys",,2017-2024
IC.FRM.DURS,Time required to obtain an operating license (days),"Enterprise Surveys, World Bank (WB), uri: https://www.enterprisesurveys.org/en/data",Private Sector,2006-2024
IC.FRM.ENGM.ZS,Firms adopting energy management measures to reduce emissions (% of firms),"World Bank, Enterprise Surveys",,2024-2024
IC.FRM.EXS.ZS,Firms exporting directly at least 10% of sales (% of firms),"World Bank, Enterprise Surveys",,2006-2024
IC.FRM.FEMM.ZS,Firms with female top manager (% of firms),"Enterprise Surveys, World Bank (WB), uri: https://www.enterprisesurveys.org/en/data","Private Sector, Gender",2010-2024
IC.FRM.FEMO.ZS,Firms with female participation in ownership (% of firms),"Enterprise Surveys, World Bank (WB), uri: https://www.enterprisesurveys.org/en/data","Private Sector, Gender",2006-2024
IC.FRM.FO.ZS,Firms with at least 10% foreign ownership,"World Bank, Enterprise Surveys",,2006-2024
IC.FRM.FREG.ZS,Firms formally registered when operations started (% of firms),"Enterprise Surveys, World Bank (WB), uri: https://www.enterprisesurveys.org/en/data",Private Sector,2006-2024
IC.FRM.LOTM.ZS,Firms where largest owner is also the top manager (% of firms),"World Bank, Enterprise Surveys",,2024-2024
IC.FRM.METG.ZS,Firms visited or required meetings with tax officials (% of firms),"Enterprise Surveys, World Bank (WB), uri: https://www.enterprisesurveys.org/en/data",Private Sector,2006-2024
IC.FRM.NPRD.ZS,"Firms that introduced a new product/service and process, and spent on R&D","World Bank, Enterprise Surveys",,2006-2024
IC.FRM.OUTG.ZS,Value lost due to electrical outages (% of sales for affected firms),"Enterprise Surveys, World Bank (WB), uri: https://www.enterprisesurveys.org/en/data","Energy & Mining , Private Sector",2006-2024
IC.FRM.TAXE.ZS,Firms filling taxes electronically (% of firms),"World Bank, Enterprise Surveys",,2024-2024
IC.FRM.TRNG.ZS,Firms offering formal training (% of firms),"Enterprise Surveys, World Bank (WB), uri: https://www.enterprisesurveys.org/en/data",Private Sector,2006-2024
IC.GOV.DURS.ZS,Time spent dealing with the requirements of government regulations (% of senior management time),"Enterprise Surveys, World Bank (WB), uri: https://www.enterprisesurveys.org/en/data",Private Sector,2006-2024
IC.MNG.IND,Management practices index,"World Bank, Enterprise Surveys",,2024-2024
IC.TAX.GIFT.ZS,Firms expected to give gifts in meetings with tax officials (% of firms),"Enterprise Surveys, World Bank (WB), uri: https://www.enterprisesurveys.org/en/data",Private Sector,2006-2024
IC.TAX.METG,Number of visits or required meetings with tax officials (average for affected firms),"Enterprise Surveys, World Bank (WB), uri: https://www.enterprisesurveys.org/en/data",Private Sector,2006-2024
IE.PPI.ENGY.CD,Investment in energy with private participation (current US$),"Private Participation in Infrastructure Project Database, World Bank (WB), uri: https://ppi.worldbank.org/en/ppidata","Energy & Mining , Infrastructure , Private Sector",1996-2023
IE.PPI.ICTI.CD,Investment in ICT with private participation (current US$),"Private Participation in Infrastructure Project Database, World Bank (WB), uri: http://ppi.worldbank.org",Infrastructure ,2023-2023
IE.PPI.TRAN.CD,Investment in transport with private participation (current US$),"Private Participation in Infrastructure Project Database, World Bank (WB), uri: https://ppi.worldbank.org/en/ppidata","Infrastructure , Private Sector",1994-2023
IE.PPI.WATR.CD,Investment in water and sanitation with private participation (current US$),"Private Participation in Infrastructure Project Database, World Bank (WB), uri: https://ppi.worldbank.org/en/ppidata","Infrastructure , Private Sector",2001-2018
IE.PPN.ENGY.CD,Public private partnerships investment in energy (current US$),"Private Participation in Infrastructure Project Database, World Bank (WB), uri: https://ppi.worldbank.org/en/ppidata",Infrastructure ,1996-2023
IE.PPN.ICTI.CD,Public private partnerships investment in ICT (current US$),"Private Participation in Infrastructure Project Database, World Bank (WB), uri: https://ppi.worldbank.org/en/ppidata",Infrastructure ,2023-2023
IE.PPN.TRAN.CD,Public private partnerships investment in transport (current US$),"Private Participation in Infrastructure Project Database, World Bank (WB), uri: https://ppi.worldbank.org/en/ppidata",Infrastructure ,1994-2023
IE.PPN.WATR.CD,Public private partnerships investment in water and sanitation (current US$),"Private Participation in Infrastructure Project Database, World Bank (WB), uri: https://ppi.worldbank.org/en/ppidata",Infrastructure ,2001-2018
IP.IDS.NRCT,"Industrial design applications, nonresident, by count","Statistics Database, World Intellectual Property Organization (WIPO), uri: www.wipo.int/ipstats/, note: The International Bureau of WIPO assumes no responsibility with respect to the transformation of these data.",Infrastructure ,1982-2021
IP.IDS.RSCT,"Industrial design applications, resident, by count","Statistics Database, World Intellectual Property Organization (WIPO), uri: www.wipo.int/ipstats/, note: The International Bureau of WIPO assumes no responsibility with respect to the transformation of these data.",Infrastructure ,1982-2021
IP.JRN.ARTC.SC,Scientific and technical journal articles,"Science and Engineering Indicators, National Science Foundation (NSF), uri: https://ncses.nsf.gov/indicators",Science & Technology ,1996-2022
IP.PAT.NRES,"Patent applications, nonresidents","WIPO Patent Report: Statistics on Worldwide Patent Activity, World Intellectual Property Organization (WIPO), note: The International Bureau of WIPO assumes no responsibility with respect to the transformation of these data.",Science & Technology ,1980-2021
IP.PAT.RESD,"Patent applications, residents","WIPO Patent Report: Statistics on Worldwide Patent Activity, World Intellectual Property Organization (WIPO), note: The International Bureau of WIPO assumes no responsibility with respect to the transformation of these data.",Science & Technology ,1980-2021
IP.TMK.NRCT,"Trademark applications, nonresident, by count","Statistics Database, World Intellectual Property Organization (WIPO), uri: www.wipo.int/ipstats/, note: The International Bureau of WIPO assumes no responsibility with respect to the transformation of these data.",Infrastructure ,2004-2021
IP.TMK.RSCT,"Trademark applications, resident, by count","Statistics Database, World Intellectual Property Organization (WIPO), uri: www.wipo.int/ipstats/, note: The International Bureau of WIPO assumes no responsibility with respect to the transformation of these data.",Infrastructure ,2004-2021
IQ.SPI.OVRL,Statistical performance indicators (SPI): Overall score (scale 0-100),"Statistical Performance Indicators, World Bank (WB), uri: https://datacatalog.worldbank.org/dataset/statistical-performance-indicators",Public Sector ,2016-2024
IQ.SPI.PIL1,Statistical performance indicators (SPI): Pillar 1 data use score (scale 0-100),"Statistical Performance Indicators, World Bank (WB), uri: https://datacatalog.worldbank.org/dataset/statistical-performance-indicators",Public Sector ,2004-2024
IQ.SPI.PIL2,Statistical performance indicators (SPI): Pillar 2 data services score (scale 0-100),"Statistical Performance Indicators, World Bank (WB), uri: https://datacatalog.worldbank.org/dataset/statistical-performance-indicators",Public Sector ,2016-2024
IQ.SPI.PIL3,Statistical performance indicators (SPI): Pillar 3 data products score  (scale 0-100),"Statistical Performance Indicators, World Bank (WB), uri: https://datacatalog.worldbank.org/dataset/statistical-performance-indicators",Public Sector ,2005-2024
IQ.SPI.PIL4,Statistical performance indicators (SPI): Pillar 4 data sources score (scale 0-100),"Statistical Performance Indicators, World Bank (WB), uri: https://datacatalog.worldbank.org/dataset/statistical-performance-indicators",Public Sector ,2015-2024
IQ.SPI.PIL5,Statistical performance indicators (SPI): Pillar 5 data infrastructure score (scale 0-100),"Statistical Performance Indicators, World Bank (WB), uri: https://datacatalog.worldbank.org/dataset/statistical-performance-indicators",Public Sector ,2016-2024
IS.AIR.DPRT,"Air transport, registered carrier departures worldwide","Civil Aviation Statistics of the World, International Civil Aviation Organization (ICAO), uri: https://data.icao.int/newdataplus/#:~:text=ICAO%20data%20is%20comprised%20of,information%20about%20commercial%20air%20carriers;
ICAO Staff estimates, International Civil Aviation Organization (ICAO), uri: https://data.icao.int/newdataplus/#:~:text=ICAO%20data%20is%20comprised%20of,information%20about%20commercial%20air%20carriers",Infrastructure ,1970-2023
IS.AIR.GOOD.MT.K1,"Air transport, freight (million ton-km)","Civil Aviation Statistics of the World, International Civil Aviation Organization (ICAO), uri: https://data.icao.int/newdataplus/#:~:text=ICAO%20data%20is%20comprised%20of,information%20about%20commercial%20air%20carriers;
ICAO Staff estimates, International Civil Aviation Organization (ICAO), uri: https://data.icao.int/newdataplus/#:~:text=ICAO%20data%20is%20comprised%20of,information%20about%20commercial%20air%20carriers",Infrastructure ,1970-2023
IS.AIR.PSGR,"Air transport, passengers carried","Civil Aviation Statistics of the World, International Civil Aviation Organization (ICAO), uri: https://data.icao.int/newdataplus/#:~:text=ICAO%20data%20is%20comprised%20of,information%20about%20commercial%20air%20carriers;
ICAO Staff estimates, International Civil Aviation Organization (ICAO), uri: https://data.icao.int/newdataplus/#:~:text=ICAO%20data%20is%20comprised%20of,information%20about%20commercial%20air%20carriers",Infrastructure ,1970-2023
IS.RRS.TOTL.KM,Rail lines (total route-km),"Railisa Database, International Union of Railways (UIC), uri: https://uic-stats.uic.org/",Infrastructure ,1995-2000
IS.SHP.GCNW.XQ,Liner shipping connectivity index (maximum value in 2004 = 100),"Review of Maritime Transport 2010., UN Conference on Trade and Development (UNCTAD)",Infrastructure ,2006-2021
IS.SHP.GOOD.TU,Container port traffic (TEU: 20 foot equivalent units),"UN Conference on Trade and Development (UNCTAD), uri: http://unctad.org/en/Pages/statistics.aspx",Infrastructure ,2000-2022
IT.CEL.SETS,Mobile cellular subscriptions,"World Telecommunication/ICT Indicators Database, International Telecommunication Union (ITU)",Infrastructure ,1960-2023
IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),"World Telecommunication/ICT Indicators Database, International Telecommunication Union (ITU)",Infrastructure ,1960-2023
IT.MLT.MAIN,Fixed telephone subscriptions,"World Telecommunication/ICT Indicators Database, International Telecommunication Union (ITU)",Infrastructure ,1965-2023
IT.MLT.MAIN.P2,Fixed telephone subscriptions (per 100 people),"World Telecommunication/ICT Indicators Database, International Telecommunication Union (ITU)",Infrastructure ,1965-2023
IT.NET.BBND,Fixed broadband subscriptions,"World Telecommunication/ICT Indicators Database, International Telecommunication Union (ITU)",Infrastructure ,2001-2023
IT.NET.BBND.P2,Fixed broadband subscriptions (per 100 people),"World Telecommunication/ICT Indicators Database, International Telecommunication Union (ITU)",Infrastructure ,2001-2023
IT.NET.SECR,Secure Internet servers,"Secure Server Survey, Netcraft, uri: http://www.netcraft.com/",Infrastructure ,2010-2024
IT.NET.SECR.P6,Secure Internet servers (per 1 million people),"Secure Server Survey, Netcraft, uri: http://www.netcraft.com/;
World Bank population estimates, World Bank (WB)",Infrastructure ,2010-2024
IT.NET.USER.FE.ZS,"Individuals using the Internet, female (% of female population)","World Telecommunication/ICT Indicators Database, International Telecommunication Union (ITU)",Infrastructure ,2008-2023
IT.NET.USER.MA.ZS,"Individuals using the Internet, male (% of male population)","World Telecommunication/ICT Indicators Database, International Telecommunication Union (ITU)",Infrastructure ,2008-2023
IT.NET.USER.ZS,Individuals using the Internet (% of population),"World Telecommunication/ICT Indicators Database, International Telecommunication Union (ITU), uri: https://datahub.itu.int/",Infrastructure ,1990-2024
LP.EXP.DURS.MD,"Lead time to export, median case (days)","Logistic Performance Index Surveys, World Bank (WB), uri: https://lpi.worldbank.org/, note: Summary results are published in Arvis and others' Connecting to Compete: Trade Logistics in the Global Economy, The Logistics Performance Index and Its Indicators report.;
Turku School of Economics, uri: https://lpi.worldbank.org/, note: Summary results are published in Arvis and others' Connecting to Compete: Trade Logistics in the Global Economy, The Logistics Performance Index and Its Indicators report.","Trade, Private Sector",2007-2016
LP.IMP.DURS.MD,"Lead time to import, median case (days)","Logistic Performance Index Surveys, World Bank (WB), uri: https://lpi.worldbank.org/, note: Summary results are published in Arvis and others' Connecting to Compete: Trade Logistics in the Global Economy, The Logistics Performance Index and Its Indicators report.;
Turku School of Economics, uri: https://lpi.worldbank.org/, note: Summary results are published in Arvis and others' Connecting to Compete: Trade Logistics in the Global Economy, The Logistics Performance Index and Its Indicators report.","Private Sector, Trade",2007-2016
LP.LPI.CUST.XQ,Logistics performance index: Efficiency of customs clearance process (1=low to 5=high),"Connecting to Compete - Logistics Performance Index (LPI), World Bank (WB), uri: https://lpi.worldbank.org","Private Sector, Trade",2007-2018
LP.LPI.INFR.XQ,Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high),"Connecting to Compete - Logistics Performance Index (LPI), World Bank (WB), uri: https://lpi.worldbank.org","Private Sector, Trade",2007-2018
LP.LPI.ITRN.XQ,Logistics performance index: Ease of arranging competitively priced shipments (1=low to 5=high),"Connecting to Compete - Logistics Performance Index (LPI), World Bank (WB), uri: https://lpi.worldbank.org","Private Sector, Trade",2007-2018
LP.LPI.LOGS.XQ,Logistics performance index: Competence and quality of logistics services (1=low to 5=high),"Connecting to Compete - Logistics Performance Index (LPI), World Bank (WB), uri: https://lpi.worldbank.org","Private Sector, Trade",2007-2018
LP.LPI.OVRL.XQ,Logistics performance index: Overall (1=low to 5=high),"Connecting to Compete - Logistics Performance Index (LPI), World Bank (WB), uri: https://lpi.worldbank.org","Private Sector, Trade",2007-2018
LP.LPI.TIME.XQ,Logistics performance index: Frequency with which shipments reach consignee within scheduled or expected time (1=low to 5=high),"Connecting to Compete - Logistics Performance Index (LPI), World Bank (WB), uri: https://lpi.worldbank.org","Private Sector, Trade",2007-2018
LP.LPI.TRAC.XQ,Logistics performance index: Ability to track and trace consignments (1=low to 5=high),"Connecting to Compete - Logistics Performance Index (LPI), World Bank (WB), uri: https://lpi.worldbank.org","Private Sector, Trade",2007-2018
MS.MIL.MPRT.KD,Arms imports (SIPRI trend indicator values),"Arms Transfers Programme, Stockholm International Peace Research Institute (SIPRI), uri: https://armstransfers.sipri.org/ArmsTransfer/","Public Sector , Trade",1960-2024
MS.MIL.TOTL.P1,"Armed forces personnel, total","The Military Balance, International Institute for Strategic Studies",Public Sector ,1985-2020
MS.MIL.TOTL.TF.ZS,Armed forces personnel (% of total labor force),"The Military Balance, International Institute for Strategic Studies",Public Sector ,1990-2020
MS.MIL.XPND.CD,Military expenditure (current USD),"SIPRI Military Expenditure Database, Stockholm International Peace Research Institute (SIPRI), uri: https://www.sipri.org/databases",Public Sector ,1960-2024
MS.MIL.XPND.CN,Military expenditure (current LCU),"SIPRI Military Expenditure Database, Stockholm International Peace Research Institute (SIPRI), uri: https://www.sipri.org/databases",Public Sector ,1960-2024
MS.MIL.XPND.GD.ZS,Military expenditure (% of GDP),"SIPRI Military Expenditure Database, Stockholm International Peace Research Institute (SIPRI), uri: https://www.sipri.org/databases",Public Sector ,1960-2024
MS.MIL.XPND.ZS,Military expenditure (% of general government expenditure),"SIPRI Military Expenditure Database, Stockholm International Peace Research Institute (SIPRI), uri: https://www.sipri.org/databases",Public Sector ,1995-2024
MS.MIL.XPRT.KD,Arms exports (SIPRI trend indicator values),"Arms Transfers Programme, Stockholm International Peace Research Institute (SIPRI), uri: https://armstransfers.sipri.org/ArmsTransfer/","Public Sector , Trade",2014-2018
NE.CON.GOVT.CD,General government final consumption expenditure (current US$),"Country official statistics, National Statistical Organizations and/or Central Banks;
National Accounts data files, Organisation for Economic Co-operation and Development (OECD);
Staff estimates, World Bank (WB)",Economy & Growth,1960-2024
NE.CON.GOVT.CN,General government final consumption expenditure (current LCU),"Country official statistics, National Statistical Organizations and/or Central Banks;
National Accounts data files, Organisation for Economic Co-operation and Development (OECD);
Staff estimates, World Bank (WB)",Economy & Growth,1960-2024
NE.CON.GOVT.KD,General government final consumption expenditure (constant 2015 US$),"Country official statistics, National Statistical Organizations and/or Central Banks;
National Accounts data files, Organisation for Economic Co-operation and Development (OECD);
Staff estimates, World Bank (WB)",Economy & Growth,1960-2024
NE.CON.GOVT.KD.ZG,General government final consumption expenditure (annual % growth),"Country official statistics, National Statistical Organizations and/or Central Banks;
National Accounts data files, Organisation for Economic Co-operation and Development (OECD);
Staff estimates, World Bank (WB)",Economy & Growth,1961-2024
NE.CON.GOVT.KN,General government final consumption expenditure (constant LCU),"Country official statistics, National Statistical Organizations and/or Central Banks;
National Accounts data files, Organisation for Economic Co-operation and Development (OECD);
Staff estimates, World Bank (WB)",Economy & Growth,1960-2024
NE.CON.GOVT.ZS,General government final consumption expenditure (% of GDP),"Country official statistics, National Statistical Organizations and/or Central Banks;
National Accounts data files, Organisation for Economic Co-operation and Development (OECD);
Staff estimates, World Bank (WB)",Economy & Growth,1960-2024
NE.CON.PRVT.CD,Households and NPISHs Final consumption expenditure (current US$),"Country official statistics, National Statistical Organizations and/or Central Banks;
National Accounts data files, Organisation for Economic Co-operation and Development (OECD);
Staff estimates, World Bank (WB)",Economy & Growth,1960-2024
NE.CON.PRVT.CN,Households and NPISHs Final consumption expenditure (current LCU),"Country official statistics, National Statistical Organizations and/or Central Banks;
National Accounts data files, Organisation for Economic Co-operation and Development (OECD);
Staff estimates, World Bank (WB)",Economy & Growth,1960-2024
NE.CON.PRVT.CN.AD,Households and NPISHs final consumption expenditure: linked series (current LCU),"Staff estimates, World Bank (WB);
National Accounts data files, Organisation for Economic Co-operation and Development (OECD);
World Economic Outlook database, International Monetary Fund (IMF)",Economy & Growth,1990-2024
NE.CON.PRVT.KD,Households and NPISHs Final consumption expenditure (constant 2015 US$),"Country official statistics, National Statistical Organizations and/or Central Banks;
National Accounts data files, Organisation for Economic Co-operation and Development (OECD);
Staff estimates, World Bank (WB)",Economy & Growth,1960-2024
NE.CON.PRVT.KD.ZG,Households and NPISHs Final consumption expenditure (annual % growth),"Country official statistics, National Statistical Organizations and/or Central Banks;
National Accounts data files, Organisation for Economic Co-operation and Development (OECD);
Staff estimates, World Bank (WB)",Economy & Growth,1961-2024
NE.CON.PRVT.KN,Households and NPISHs Final consumption expenditure (constant LCU),"Country official statistics, National Statistical Organizations and/or Central Banks;
National Accounts data files, Organisation for Economic Co-operation and Development (OECD);
Staff estimates, World Bank (WB)",Economy & Growth,1960-2024
NE.CON.PRVT.PC.KD,Households and NPISHs Final consumption expenditure per capita (constant 2015 US$),"Country official statistics, National Statistical Organizations and/or Central Banks;
National Accounts data files, Organisation for Economic Co-operation and Development (OECD);
Staff estimates, World Bank (WB)",Economy & Growth,1960-2024
NE.CON.PRVT.PC.KD.ZG,Households and NPISHs Final consumption expenditure per capita growth (annual %),"Country official statistics, National Statistical Organizations and/or Central Banks;
National Accounts data files, Organisation for Economic Co-operation and Development (OECD);
Staff estimates, World Bank (WB)",Economy & Growth,1961-2024
NE.CON.PRVT.PP.CD,"Households and NPISHs Final consumption expenditure, PPP (current international $)","International Comparison Program (ICP), World Bank (WB), uri: https://www.worldbank.org/en/programs/icp/data, note: This information is for ICP’s PPPs utilized in WDI, publisher: International Comparison Program (ICP), date accessed: May 30, 2024, date published: May 30, 2024;
The Eurostat PPP Programme, Eurostat (ESTAT), uri: https://ec.europa.eu/eurostat/databrowser/explore/all/all_themes, publisher: Eurostat;
The OECD PPP Programme, Organisation for Economic Co-operation and Development (OECD), uri: https://data-explorer.oecd.org/, publisher: OECD;
Staff estimates, World Bank (WB);
National Accounts data files, Organisation for Economic Co-operation and Development (OECD);
World Economic Outlook database, International Monetary Fund (IMF)",Economy & Growth,2000-2024
NE.CON.PRVT.PP.KD,"Households and NPISHs Final consumption expenditure, PPP (constant 2021 international $)","International Comparison Program (ICP), World Bank (WB), uri: https://www.worldbank.org/en/programs/icp/data, note: This information is for ICP’s PPPs utilized in WDI, publisher: International Comparison Program (ICP), date accessed: May 30, 2024, date published: May 30, 2024;
The Eurostat PPP Programme, Eurostat (ESTAT), uri: https://ec.europa.eu/eurostat/databrowser/explore/all/all_themes, publisher: Eurostat;
The OECD PPP Programme, Organisation for Economic Co-operation and Development (OECD), uri: https://data-explorer.oecd.org/, publisher: OECD;
Staff estimates, World Bank (WB);
National Accounts data files, Organisation for Economic Co-operation and Development (OECD);
World Economic Outlook database, International Monetary Fund (IMF)",Economy & Growth,1990-2024
